,smiles,hepatotoxicity,mito_toxicity
4896,N1=CN(c2ccc(cc2)N2CCN(c3ccc(cc3)OCC3COC(O3)(c3ccc(cc3Cl)Cl)CN3C=NC=N3)CC2)C(=O)N1C(C)CC,1,1.0
5186,O([C@@H]1C([C@H](O[C@H]2C[C@]([C@@H](O)[C@@H](O2)C)(OC)C)[C@H](C(=O)O[C@@H]([C@@](C)(O)[C@H]([C@H](N(C[C@@H](C[C@]1(C)O)C)C)C)O)CC)C)C)[C@H]1[C@@H]([C@H](C[C@H](O1)C)N(C)C)O,1,0.0
2594,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,1,0.0
931,c1ccc(-c2ccccc2)cc1,1,1.0
336,C(C(CBr)Br)Cl,1,0.0
5617,O=C(O)C1OC(Oc2cc(O)c3c(=O)cc(-c4ccccc4O)oc3c2)C(O)C(O)C1O,0,1.0
3985,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,0,0.0
1593,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,1,0.0
1902,CC=C(C)C(=O)OC1CCN2CC=C(CO)C12,1,0.0
5508,O=C(N[C@@H](CC)CO)[C@H]1CN([C@H]2C(=C1)c1c3c(C2)c[nH]c3ccc1)C,0,1.0
4562,COCC(Cc1ccc(OC)c(OC)c1)C(COC)Cc1ccc(OC)c(OC)c1,0,0.0
6336,S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)c1c2c(ccc1OCC)cccc2,1,0.0
5312,O(CC1CC1)CCc1ccc(OC[C@@H](O)CNC(C)C)cc1,0,0.0
1557,CC(C)C1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23,1,0.0
5736,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0,1.0
724,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,0,1.0
765,c1c(cc(c(c1Cl)NC2=NCCN2)Cl)N,0,0.0
286,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,0,0.0
3378,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,0,0.0
4004,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,1,0.0
307,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,0,0.0
4419,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1,0,0.0
2521,CC1CCC2(OC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C,0,1.0
4987,NC(Cc1ccccc1)C,1,0.0
2117,CC1=CC(=C(C=C1)O)[C@@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2,0,1.0
2370,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,1,1.0
5810,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,1,1.0
6311,S=c1nc[nH]c2nc[nH]c12,1,1.0
4827,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0,1.0
5797,O=c1ccc2ccc(O)cc2o1,1,1.0
5433,O=C([C@@H]1[C@@]2([C@H]([C@H]3C(=CC2)[C@@]2(C(=CC(=O)C=C2)CC3)C)C[C@H]1C)C)CN1CCN(CC1)c1nc(N2CCCC2)nc(N2CCCC2)c1,1,1.0
2910,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,1,1.0
71,C1CC1NC2=NC(=NC3=C2N=CN3C4C[C@H](C=C4)CO)N,1,0.0
3515,Clc1c(Cc2c(O)c(Cl)cc(Cl)c2Cl)c(O)c(Cl)cc1Cl,0,1.0
711,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,1,1.0
421,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,1,1.0
1020,c1ccc2c(c1)c(c[nH]2)C(=O)OC3CC4CC5CC(C3)N4CC5=O,1,1.0
5793,O=C1CCC23C1C([C@H](C[C@@]([C@@H]([C@H]2C)O)(C=C)C)OC(=O)CS[C@H]1C[C@@H]2CC[C@@H](C1)[C@@H]2C)([C@H](CC3)C)C,0,0.0
1720,CC(c1ccc(s1)C(=O)c2ccccc2)C(=O)O,1,0.0
3862,CN1[C@@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2,0,0.0
737,C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N,1,0.0
4003,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21.O=S(=O)(O)c1ccccc1,1,0.0
3100,CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,0,0.0
2288,Cc1c(c2c3c4c1OC(C4=O)(OC=CC(C(C(C(C(C(C(C(C=CC=C(C(=O)NC(=C2O)C(=CNN5CCN(CC5)C)C3=O)C)C)O)C)O)C)OC(=O)C)C)OC)C)O,1,1.0
2827,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,1,0.0
1919,CC=C1CC(C)C(O)(CO)C(=O)OCC2=CC[N+]3([O-])CCC(OC1=O)C23,1,0.0
5955,O1[C@]2([C@@]3([C@H]([C@H]4[C@H]([C@@H](O)C3)[C@@]3(C(=CC(=O)C=C3)CC4)C)C[C@H]2O[C@H]1CCC)C)C(=O)CO,0,1.0
6115,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1,0,1.0
2922,CCC1Nc2cc(c(cc2C(=O)N1)S(=O)(=O)N)Cl,1,0.0
1545,CC(C)C(N)C(=O)OCC(CO)OCn1cnc2c(=O)nc(N)[nH]c21,0,0.0
1210,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1,0.0
1840,CC(O)CN1CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC1.[Gd+3],0,0.0
1095,c1nc2c(n1CCC(CO)CO)[nH]c(nc2=O)N,0,0.0
3907,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,0,1.0
4397,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,1,0.0
3392,CCOC(=O)NC1CCC2C(C1)CC1C(=O)OC(C)C1C2C=Cc1ccc(-c2cccc(F)c2)cn1,0,1.0
2876,CCC1=C(CN(C1=O)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,0,0.0
4279,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,1,1.0
978,c1ccc(cc1)CC(=O)NC(=O)N,1,0.0
2559,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,0,0.0
5760,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,0,1.0
5930,O1[C@@H]([C@H](N(CC1)C)C)c1ccccc1,0,0.0
